"","logFC","logCPM","LR","PValue","FDR"
"FBgn0052319",3.05759623256789,2.16038440322687,26.0333857593739,3.35564099904228e-07,3.03312979384417e-05
"FBgn0262102",3.88126792930289,3.59112356215777,26.0250593381184,3.37014421538241e-07,3.03312979384417e-05
"FBgn0261287",2.45132386944057,5.37512411791818,26.0140448970578,3.38942609029488e-07,3.0331511887582e-05
"FBgn0031786",4.20425685333891,2.86406662043579,25.9391812489644,3.52344539188246e-07,3.12373277728842e-05
"FBgn0264567",3.6093489814968,2.91005353921782,25.9354217828569,3.53031386893549e-07,3.12373277728842e-05
"FBgn0051816",2.98899773915286,3.6549620747546,25.8847379863799,3.62423321033838e-07,3.18738572578981e-05
"FBgn0262581",2.83902013114843,3.25609646180842,25.8749133141377,3.64272654375978e-07,3.18738572578981e-05
"FBgn0026141",2.95196412924714,4.20045565243396,25.8455653113769,3.69853460628237e-07,3.21833812425123e-05
"FBgn0035857",2.93583592478952,3.42033680090566,25.8096682666813,3.76796300926874e-07,3.26073721955948e-05
"FBgn0040747",2.48685557307215,4.35065754212912,25.7517814319769,3.88268467367527e-07,3.33980728908677e-05
"FBgn0032109",2.05215850445552,2.97208179048636,25.7423311886265,3.90174311867915e-07,3.33980728908677e-05
"FBgn0032376",3.772532445131,1.66703911380409,25.7288838209569,3.92902440567246e-07,3.34498023726169e-05
"FBgn0262100",3.23339211045336,3.93241780284102,25.7123556134579,3.96281803518406e-07,3.35561204592199e-05
"FBgn0029656",2.55175045170891,1.58561027375279,25.6398829189967,4.11446965183643e-07,3.4653955623756e-05
"FBgn0053221",3.66029795980755,0.448471090608857,25.5211539768477,4.37559079452267e-07,3.66572101136873e-05
"FBgn0031826",2.43737977273946,3.74064721652134,25.4880300825476,4.45136054382462e-07,3.70946711985385e-05
"FBgn0028567",3.26242935997346,5.4510135589907,25.4428665276114,4.55679454247082e-07,3.7773428444166e-05
"FBgn0031208",2.44237158784797,2.77093727110403,25.3741542216623,4.72202503669176e-07,3.89381645695787e-05
"FBgn0028899",1.4771356425915,4.09548365783489,25.3339491673549,4.82147682213132e-07,3.94320443855026e-05
"FBgn0264086",2.97706015723951,6.30983389914754,25.3297476458738,4.83199020089016e-07,3.94320443855026e-05
"FBgn0037195",1.42732948371297,2.70178502092403,25.2455263746537,5.04765134441676e-07,4.09796436466824e-05
"FBgn0030933",2.142836358413,3.97296825531579,25.2144122886576,5.12974229220886e-07,4.09849646360348e-05
"FBgn0043025",2.48664116104389,4.25069450859613,25.2061168690179,5.15185391744842e-07,4.09849646360348e-05
"FBgn0000274",3.30180158428265,2.8408771052257,25.2020731894395,5.16266705257712e-07,4.09849646360348e-05
"FBgn0034601",2.95673313521838,3.73214219755593,25.1974110195702,5.1751623255127e-07,4.09849646360348e-05
"FBgn0052835",3.79046259130753,4.08375355311353,25.1961982244888,5.17841775401329e-07,4.09849646360348e-05
"FBgn0033063",1.77347229253556,3.20286835307501,25.151414021607,5.30007774107956e-07,4.15833719591979e-05
"FBgn0086915",2.65776171344239,6.51589944637065,25.1434518923894,5.32200564325881e-07,4.15833719591979e-05
"FBgn0053136",2.81044573050906,3.58270987284734,25.1393880987104,5.33323246714792e-07,4.15833719591979e-05
"FBgn0265078",4.26095089737266,-0.468793981685837,25.1191350920032,5.38953940351418e-07,4.1649970768478e-05
"FBgn0266757",2.88006554941328,1.86286131556603,25.1173027730831,5.39466288048858e-07,4.1649970768478e-05
"FBgn0031501",1.88742925866086,4.30931914593301,24.9922189963973,5.75621464698895e-07,4.42245759463785e-05
"FBti0062484",2.44952448687385,0.741144019023385,24.9762485993322,5.80409271059671e-07,4.43759515494652e-05
"FBgn0032219",1.94841809368936,3.89326380336656,24.9186597029873,5.98007993653401e-07,4.5385757441436e-05
"FBgn0061196",3.35887233330363,2.49800734441726,24.9056870014171,6.02045616984492e-07,4.5385757441436e-05
"FBgn0053225",3.51700589587567,1.46415004361916,24.9049948866551,6.02261797159372e-07,4.5385757441436e-05
"FBgn0033461",2.39793395845825,2.25673779290083,24.8491743327452,6.19955937911629e-07,4.64966953433722e-05
"FBgn0002531",-1.43468755726005,0.584301472590603,24.8285941267764,6.26610211333905e-07,4.67730371019384e-05
"FBgn0261624",3.3411340435705,2.23298828104702,24.8141636950469,6.3131872151231e-07,4.69022163387683e-05
"FBgn0032424",3.34765000788775,4.05320538136201,24.7796805329951,6.42714418117409e-07,4.73072282988491e-05
"FBgn0036705",3.2874504572032,1.40687789469662,24.7754533436812,6.44125500027998e-07,4.73072282988491e-05
